text,author,tags,text_length
“the world as we have created it is a process of our thinking. it cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",115
"“it is our choices, harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",85
“there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",131
"“the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",104
"“imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",111
“try not to become a man of success. rather become a man of value.”,Albert Einstein,"adulthood, success, value",67
“it is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",82
"“i have not failed. i've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",65
“a woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,85
"“a day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",50
